BAIRRO,QUANTIDADE
PAQUETA,1
SANTO ANTONIO,2
LOURDES,11
HELIOPOLIS,8
SION,1
SILVEIRA,5
DOM SILVERIO,1
CAICARAS,2
SANTO ANDRE,2
IPIRANGA,3
SANTA HELENA,2
JARDIM LEBLON,1
SAO GABRIEL,4
JOAO PINHEIRO,1
SAO GERALDO,2
BELVEDERE,1
JARDIM AMERICA,4
LETICIA,4
SANTA BRANCA,4
SANTA TEREZA,4
FLAVIO MARQUES LISBOA,1
PONGELUPE,1
AEROPORTO,1
BARREIRO DE BAIXO,3
JAQUELINE,2
SAO PAULO,5
JARDIM DOS COMERCIARIOS,5
FLORESTA,5
CEU AZUL,1
CACHOEIRINHA,4
JARDINOPOLIS,4
SAO DAMIAO,1
JARDIM VITORIA,8
PLANALTO,9
PADRE EUSTAQUIO,11
ERMELINDA,1
UNIAO,3
MARIA GORETTI,1
VILA PRIMEIRO DE MAIO,1
ALPES,1
PALMARES,2
PINDORAMA,4
ATILA DE PAIVA,1
PARAISO,4
BARREIRO,5
MANTIQUEIRA,2
EUROPA,4
JULIANA,1
CANDELARIA,1
GARCAS,1
TEIXEIRA DIAS,1
SANTA INES,3
PRIMEIRO DE MAIO,2
SANTA MARIA,2
PIRATININGA,2
VILA JARDIM LEBLON,1
JARDIM ATLANTICO,1
VILA CLORIS,5
MILIONARIOS,3
INCONFIDENCIA,3
CIDADE NOVA,9
VILA SESC,1
PETROPOLIS,1
PROVIDENCIA,1
ESPLANADA,2
PEDRO II,1
CENTRO,50
CASTELO,5
PRADO,4
SANTA CRUZ,1
OESTE,1
SAGRADA FAMILIA,2
PAULO VI,1
NOVO AARAO REIS,3
DIAMANTE,3
BAIRRO DAS INDUSTRIAS I,2
DOM BOSCO,3
MARILANDIA,2
VILA PARAISO,1
CRUZEIRO,2
TAQUARIL,1
VENDA NOVA,1
BETANIA,5
ERNESTO DO NASCIMENTO,1
SARANDI,2
APARECIDA,1
JARDIM MONTANHES,1
HAVAI,3
ESTORIL,5
MARIA HELENA,6
VISTA ALEGRE,5
SANTA LUCIA,4
LAGOINHA,5
SAO JOSE,2
NOVA GAMELEIRA,1
GOIANIA,2
VILA SAO GABRIEL JACUI,1
SAO JOAO BATISTA,3
CIDADE JARDIM TAQUARIL,1
BURITIS,3
GLORIA,4
SAO BENTO,2
LUXEMBURGO,2
SANTA TEREZINHA,1
SANTA EFIGENIA,19
DONA CLARA,6
TIROL,9
COLEGIO BATISTA,5
EYMARD,2
CINQUENTENARIO,2
BOA VISTA,1
CARMO,1
SERRA,2
GUARANI,5
JARAGUA,1
AARAO REIS,6
ARAGUAIA,2
CDI JATOBA,3
ANCHIETA,2
BARROCA,1
GUTIERREZ,2
MADRE GERTRUDES,4
SAO PEDRO,1
SAO BERNARDO,3
CASTANHEIRA,2
ITAPOA,2
SANTA MONICA,4
OLARIA,1
CARLOS PRATES,13
PALMEIRAS,5
NOVA AMERICA,2
LINDEIA,6
CALIFORNIA,2
COPACABANA,7
MADRI,1
CORACAO EUCARISTICO,2
LAGOA,1
ESTRELA DO ORIENTE,1
PARQUE SAO PEDRO,4
OLHOS D'AGUA,3
CIDADE JARDIM,2
SAVASSI,11
NOVA GRANADA,1
CAMPUS UFMG,1
VERA CRUZ,2
SAO CRISTOVAO,2
NOSSA SENHORA DO ROSARIO,1
CARDOSO,1
BARRO PRETO,8
MARIA TERESA,1
ALTO BARROCA,1
SAO LUIZ,6
CABANA DO PAI TOMAS,4
CAPITAO EDUARDO,1
LIBERDADE,1
NAZARE,1
SAO FRANCISCO,4
RENASCENCA,1
MARIA VIRGINIA,1
SAO LUCAS,2
TREVO,2
VILA UNIAO,5
GAMELEIRA,4
IPE,1
VALE DO JATOBA,4
SERRA VERDE,3
NOVA SUISSA,1
SANTA AMELIA,3
CANAA,1
SAO TOMAZ,2
ITATIAIA,2
CAMPO ALEGRE,2
CAMARGOS,1
ENGENHO NOGUEIRA,2
FUNCIONARIOS,7
TUPI B,4
SANTO AGOSTINHO,4
HORTO,6
MINASCAIXA,1
RIO BRANCO,5
NOVA CINTRA,1
OURO PRETO,3
CAICARA ADELAIDE,3
BONFIM,1
VILA REAL II,2
